WORK,GRAD,EXP,PrevWork,INCENT,Ref,products,ticket,member,earning fm,depend,Department,RC,lang,PREVIND,NOIND,Performance
1,2,0,1,15000,1,0,1200000,1,0,2,3,4,4,0,0,1
1,40.811456,3,2,5000,1,2,2000000,5,2,3,1,4,3,0,1,0
1,40.811456,0,1,0,1,2,0,5,2,3,1,4,3,0,0,0
1,31.428571,7,2,15000,6,1,1000000,1,1,2,3,5,4,0,3,1
1,40.811456,8,1,8000,1,2,2000000,5,2,2,5,4,4,0,5,1
1,40.811456,6,3,5000,1,1,400000,3,1,2,1,4,3,0,3,0
1,40.811456,4,2,15000,5,0,1200000,5,0,3,4,5,2,0,1,1
1,2,0,1,2000,1,0,1200000,1,0,1,1,5,4,0,0,0
0.5,36.871508,6,1,5000,1,1,1000000,3,1,3,3,4,1,0,3,1
1,40.811456,2,1,5000,1,1,400000,3,0,3,6,4,2,0,1,0
1,40.811456,7,2,5000,1,1,1000000,3,2,2,5,5,4,0,1,0
1,40.811456,12,1,15000,4,2,2000000,1,1,2,4,0,3,0,1,0
1,40.811456,7,3,15000,3,1,2000000,3,1,3,3,4,4,0,3,0
1,40.811456,10,1,5000,3,2,1000000,3,0,4,1,5,5,0,3,0
1,60,2,1,5000,2,2,0,3,5,4,1,3,1,0,1,1
1,40.811456,2,2,8000,1,1,1200000,5,0,2,2,3,3,0,1,0
1,36.871508,6,1,0,1,2,125000,5,2,1,3,4,4,0,1,1
1,2,0,1,5000,1,0,1200000,3,0,0,5,6,2,0,0,1
1,40.811456,1,2,15000,1,1,2000000,3,1,2,1,4,1,0,1,1
1,40.811456,6,2,15000,1,2,2000000,3,0,3,2,4,2,0,3,1
1,40.811456,0,3,0,7,1,0,3,2,3,1,4,1,0,0,1
1,40.811456,7,1,15000,1,2,25000,3,1,3,1,3,3,0,1,0
1,40.811456,2,1,15000,3,2,2000000,3,1,4,5,5,4,0,3,1
1,40.811456,2,3,5000,1,1,0,3,2,2,1,3,4,0,1,0
1,2,0,1,0,1,0,400000,5,0,2,2,2,2,0,0,0
1,31.428571,2,1,5000,3,1,125000,3,0,4,2,5,4,0,1,0
1,36.871508,5,1,5000,6,1,2000000,3,1,2,2,4,5,0,3,0
1,36.871508,7,1,15000,1,2,2000000,3,0,5,5,5,3,0,1,0
1,40.811456,3,1,5000,1,2,2000000,3,1,1,2,2,3,0,1,1
